title,date
[問卦] 國王的女兒說我性侵她該怎麼辦？, 4/20
[新聞] 載女友逼車掏甩棍 秒被健身教練打趴, 4/20
[問卦] 軍歌我愛中華也要改嗎, 4/20
[政治] 有人把海軍砸的鍋怪到柯P身上了！, 4/20
[問卦] 有沒有等你XXX就知道了的八卦?, 4/20
[新聞] 載女友逼車爆衝突！車廂掏甩棍「糗了」…, 4/20
[問卦] 確診官兵足跡地圖上線啦！你各位有中嗎？, 4/20
Re: [政治] 總統府發言人「穿燒國旗上衣」受訪 藍委, 4/20
[問卦]日本安倍不像韓國文在寅一樣民調飆高？, 4/20
[新聞] 公權力遭打臉！派出所前大械鬥 斗六分局, 4/20
[問卦] 這次事件是不是凸顯了軍中體溫小卡的重要, 4/20
[新聞] 海軍下船趴趴走 醫曝最大疫調漏洞「對象, 4/20
[問卦] 貓貓一聞昏倒了？！, 4/20
[問卦] 日文單字拼音 容易記錯嗎?, 4/20
Re: [新聞] 「人工合成新冠病毒」　武漢病毒所：不相, 4/20
[問卦] 軍隊會砸鍋其實也不太意外吧？, 4/20
Re: [爆卦] 海軍副司令：4/14 確實有非輪值官兵下船, 4/20
[問卦] 帛琉人看到阿滴廣告時在想什麼？, 4/20
[問卦] 沒去過確診者到過處，收到疫情警示簡訊？, 4/20
[問卦] 幫午睡中的女同事披上外套有加分嗎, 4/20
Re: [問卦] 有沒有等你XXX就知道了的八卦?, 4/20
Re: [政治] 敦睦艦隊24人染疫…蔡英文霸氣下令：國軍, 4/20
Re: [問卦] 麥當勞炸雞翅什麼時候變成這樣的？, 4/20
Re: [政治] 有人把海軍砸的鍋怪到柯P身上了！, 4/20
[問卦] 夜店是不是該全面封閉, 4/20
Re: [問卦] 中國口罩能夠隨便買到了？, 4/20
Re: [新聞] 公權力遭打臉！派出所前大械鬥 斗六分局, 4/20
[新聞] 房內一條紅內褲！正宮見這幕崩潰…曝小三, 4/20
[問卦] 磐石艦如果有艦娘 會長怎樣？, 4/20
[問卦] 問卦提升到五篇增加活水不好嗎？, 4/20
[問卦] 防疫vs親情, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
[問卦] 國軍士氣現在是不是很低弱, 4/20
Re: [政治] 有人把海軍砸的鍋怪到柯P身上了！, 4/20
[問卦] 大學生了沒和康熙來了那個比較經典？, 4/20
Re: [爆卦] 海軍副司令：4/14 確實有非輪值官兵下船, 4/20
[問卦] 有北京朝陽區的八卦嗎？, 4/20
[問卦] 你最希望世界被滅掉的前三名國家？, 4/20
Re: [政治] 有人把海軍砸的鍋怪到柯P身上了！, 4/20
[問卦] 所以當兵生活到底長怎樣, 4/20
[問卦] 如果我是軍醫  我就命令大家不准下船！, 4/20
Re: [爆卦] 新加坡+1426！單日首次破千！, 4/20
[問卦] 中國沒有要調查病毒爆發源頭的意思, 4/20
[問卦] 防疫政策是不是該改成人性本惡了, 4/20
[政治] G20檢討衛生體系弱點~~G20能取代WHO? , 4/20
[問卦] 那些確診的軍人 今後將何去何從?, 4/20
[問卦] 單眼相機因該是下一個有線耳機吧==, 4/20
Re: [問卦] 當過兵然後覺得替代役很廢的進來一下, 4/20
[新聞] 新加坡「防疫模範」失守！266飆升到6588, 4/20
"[問卦] 國外每天 幾千 幾萬 確診的加,台灣在叫屁", 4/20
Re: [問卦] 你最希望世界被滅掉的前三名國家？, 4/20
[問卦] 開刀的疤很癢怎摸半, 4/20
[新聞] 新加坡暴增1426例 東南亞首破8千例國家, 4/20
[問卦] 三小！德國車小毛病也太多了吧？, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
Re: [問卦] 請問改名進度到哪了, 4/20
[政治] 綠批中市府疫調慢半拍 盧秀燕反要求中央, 4/20
Re: [問卦] 當兵有過什麼卓越表現放榮譽假？, 4/20
Re: [問卦] 單眼相機因該是下一個有線耳機吧==, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
Re: [問卦] 很多次該爆但最後都沒爆的原因, 4/20
[問卦]  朋友一個月瘦快10公斤= =, 4/20
[問卦] 有沒有其實是在生存的八卦?, 4/20
[問卦] 會簽志願役的都是那些人?, 4/20
[問卦] GOGORO在中油的換電站又要撤站了?, 4/20
[新聞] 台南再公布磐石艦官兵足跡 連花園夜市也, 4/20
[問卦] 手搖飲料選擇, 4/20
Re: [新聞] 華航正名？華航員工心中永遠的痛, 4/20
[新聞] 新／敦睦軍艦確診者足跡大公開　遍佈全台, 4/20
[問卦] 大家覺得這波守的住嗎, 4/20
Re: [爆卦] 海軍副司令：4/14 確實有非輪值官兵下船, 4/20
[政治] 劉世芳委員臉書：疫調出爐、真相大白，總算還, 4/20
[問卦] 賣車的小姐怎麼這麼嗆？, 4/20
[問卦] 封城會怎樣？, 4/20
[問卦] 請問清水區農會前有什麼美食, 4/20
Re: [爆卦] 新加坡+1426！單日首次破千！, 4/20
[爆卦] 香港今日0確診！！！, 4/20
[問卦] 小陳跟老陳的分界點, 4/20
[問卦] 天馬音樂網上不去怎麼辦？, 4/20
[問卦] 中職導入K-zone是不是能幫助預防假球？, 4/20
[問卦] 餐廳內用， 是不是台灣防疫的最大破口?, 4/20
[問卦] 為什麼網咖食物特別好吃?, 4/20
[問卦] 海軍實施普篩要花多少錢？, 4/20
[問卦] 怎麼很多洋人跟台灣阿姨在一起, 4/20
Re: [新聞] 澳洲短裙妹「當街狠揍」2女留學生：滾回中國！目擊男還, 4/20
Re: [政治] 民眾黨批蔡英文總統 酷碰券假紓困真, 4/20
[問卦] 比 阿我就怕被罵阿 更可惡的句子 , 4/20
[問卦] 為什麼日本遊戲IP大多是西方文化?, 4/20
Re: [新聞] 新加坡「防疫模範」失守！266飆升到6588, 4/20
[新聞] 「第四軍」查假訊息 資安工作站成立, 4/20
[問卦] 交大有系館不在交大？, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
Re: [爆卦] 新加坡+1426！單日首次破千！, 4/20
[問卦] 聽說有個小鬼棋力很強又不敢參賽, 4/20
[問卦] 朋友感情多好可以借錢?, 4/20
Re: [新聞] 澳洲短裙妹「當街狠揍」2女留學生：滾回中國！目擊男還, 4/20
Re: [問卦] 國軍回國直接放假是不是嚴重失職??, 4/20
[問卦] 要怎麼跟乾爹劃清界線啊？, 4/20
[問卦] 烏龍派出所歷久不衰的關鍵？, 4/20
[問卦] 請問我國三軍統帥是誰阿?, 4/20
[問卦] 弱勢族群一定要保護嗎?, 4/20
[問卦] 讓高社經地位戴綠帽有多爽, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
[新聞] 獨家》扯！召回軍艦官兵在中一中門前集合, 4/20
Re: [問卦] 結婚反而不做愛??, 4/20
[問卦] 申請入學面試穿什麼才能讓教授有印象？, 4/20
[問卦] 為何中國動不動就辱華？, 4/20
Re: [問卦] 賣車的小姐怎麼這麼嗆？, 4/20
[問卦] 有沒有飯廳用途的八卦, 4/20
Re: [政治] 總統府發言人「穿燒國旗上衣」受訪 藍委, 4/20
Re: [爆卦] 夏普牌口罩開始生產, 4/20
[問卦] 這漫畫有借鑑某國際知名粉專嗎？, 4/20
[問卦] 氣炸鍋怎麼那麼神, 4/20
[問卦] 獵巫的真諦是什麼。, 4/20
[問卦] 土庫曼這個國家, 4/20
[問卦] 看來天氣熱也沒救了 只能靠自體免疫了, 4/20
[問卦] 籃球少年王超越灌籃高手了嗎？, 4/20
Re: [爆卦] 海軍副司令：4/14 確實有非輪值官兵下船, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
Re: [問卦] 結婚反而不做愛??, 4/20
[問卦] 癌症末期~聽過活最久~~最多是多久?????, 4/20
Re: [新聞] 澳洲短裙妹「當街狠揍」2女留學生：滾回中國！目擊男還, 4/20
[新聞] 川普豁免汙染監測 德州石化區民眾怒嗆, 4/20
[新聞] 新北市模擬封城兵推　民眾每周限3次外出, 4/20
[問卦] 虛竹、段譽比內功，誰會贏?, 4/20
[問卦] 神A真的是神車嗎, 4/20
[問卦] 同一人赴二摩鐵，該如何實行, 4/20
[問卦] 我觀念應該是正確吧, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
[新聞] 空姐妻甜喊大仁哥「肉體虐待」好棒 綠光, 4/20
[問卦] 家樂福振興券怎麼用啊, 4/20
Re: [問卦] 你最希望世界被滅掉的前三名國家？, 4/20
[問卦] 想祥 羅志祥 當年有多帥？？, 4/20
[問卦] 要是監獄感染會怎麼處置?, 4/20
[問卦] 趴趴走的中文到底是?, 4/20
[新聞] 磐石艦發燒三人抗體陽性 張上淳研判於船, 4/20
[問卦] 大家為何不支持廢死？, 4/20
[問卦] 不願役在軍中說實話會怎樣, 4/20
[問卦] 南部年薪80萬算什麼程度？, 4/20
Re: [問卦] 在日本開賓士很威嗎?, 4/20
Re: [新聞] 澳洲短裙妹「當街狠揍」2女留學生：滾回中國！目擊男還, 4/20
[問卦] 多啦A夢團隊 vs 復仇者聯盟 誰贏面大?, 4/20
"[問卦] 未來幾日內零確診,不用再慶祝了", 4/20
Re: [新聞] 「第四軍」查假訊息 資安工作站成立, 4/20
[問卦] 喜歡法國鬥牛犬的是不是都喜歡肥宅啊= =, 4/20
[新聞] 陳大天爆抄襲IU《Palette》...網怒揪「, 4/20
Re: [問卦] 家樂福振興券怎麼用啊, 4/20
[問卦] 雞怎麼料理最好吃, 4/20
Re: [政治] 軍中風氣「下情無法上達」　陳時中自曝：, 4/20
[問卦] 哇 好有防疫概念的老師, 4/20
[爆卦] 員林某高中校外人士入校砍人, 4/20
[問卦] 部隊好嗎？, 4/20
Re: [新聞] 磐石艦發燒三人抗體陽性 張上淳研判於船, 4/20
[問卦] 中華職棒 怎不表演一場打架 ?, 4/20
[問卦] 肥宅閃到腰要怎麼辦啊？, 4/20
[問卦] 日本妹橫野すみれ的八卦？, 4/20
[問卦] 有沒有OOTD的八卦？, 4/20
[問卦] 磐石號會獨立於是台灣之外嗎？, 4/20
[問卦] 嘴巴破洞就會一直破下去, 4/20
Re: [爆卦] 員林某高中隨機砍人, 4/20
[問卦] 有沒有中國歌曲侵台的卦？, 4/20
[爆卦]急!!  教宗正研擬訪問中國, 4/20
Re: [問卦] 在日本開賓士很威嗎?, 4/20
Re: [新聞] 磐石艦發燒三人抗體陽性 張上淳研判於船, 4/20
Re: [問卦] 結婚反而不做愛??, 4/20
Re: [新聞] 磐石艦發燒三人抗體陽性 張上淳研判於船, 4/20
[問卦] 尻尻一下就噴了怎麼辦, 4/20
[問卦] 現在的解放軍是怎麼看美軍的, 4/20
[問卦] 跟這種很討厭的人共事怎麼辦？, 4/20
[新聞] 張淑晶狀告房客拿到8萬7千 法官判房客免, 4/20
[問卦] 磐石艦人員有無可能沒完整回報行蹤?, 4/20
[問卦] 灰狗巴士為什麽被稱作神車, 4/20
[問卦] 新版iphoneSE的充電器, 4/20
[新聞] 義媒:梵蒂岡秘密安排教宗訪問中國 首站, 4/20
Re: [問卦] 單眼相機因該是下一個有線耳機吧==, 4/20
[問卦] 什麼是小雞吃米圖?, 4/20
[問卦] 中文好的進來一下, 4/20
Re: [新聞] 新北市模擬封城兵推　民眾每周限3次外出, 4/20
[問卦] 盲流感給亞洲人拍會有盲劍客嗎, 4/20
[問卦] 在健身房被妹子盯上, 4/20
Re: [新聞] 「第四軍」查假訊息 資安工作站成立, 4/20
[問卦] sony 如果做口罩會有哪些特色, 4/20
[問卦] 邊上廁所邊閱讀的卦？, 4/20
Re: [爆卦] 員林某高中隨機砍人, 4/20
Re: [新聞] 「第四軍」查假訊息 資安工作站成立, 4/20
[問卦] 政大詠春拳被搓掉，學生好慘的八卦?, 4/20
[問卦] 欸！用手機截圖推文的人在想蛇摸？, 4/20
[問卦] Z欣為什麼能忍受蹦蛙黃梗轟炸R？, 4/20
[問卦] 有沒有高中書包都很耐操的八卦？, 4/20
Re: [新聞] 澳洲短裙妹「當街狠揍」2女留學生：滾回中國！目擊男還, 4/20
Re: [新聞] 張淑晶狀告房客拿到8萬7千 法官判房客免, 4/20
Re: [爆卦] 員林某高中隨機砍人, 4/20
[新聞] 前文化部高官涉收賄60萬護航廠商 檢廉今7, 4/20
[新聞] 台灣呼吸器夠了.但呼吸治療師夠嗎?, 4/20
[問卦] 我們都沒錯，只是不適合？, 4/20
Re: [新聞] 澳洲短裙妹「當街狠揍」2女留學生：滾回中國！目擊男還A, 4/20
[問卦] Pchome支付連, 4/20
[問卦]法式賣場明明就很貴 為啥很多人, 4/20
[問卦] 葉黃素買到綠色的是不是被詐騙, 4/20
[新聞] 男闖彰化員林高中刺傷女學生！被害人, 4/20
"[問卦] 志願役的女朋友,會很穩定嗎?", 4/20
[問卦] 有沒有五軍統帥是誰的八卦?, 4/20
Re: [新聞] 新北市模擬封城兵推　民眾每周限3次外出, 4/20
[問卦] 有沒有高雄嘉義人沒事往台南跑的八卦, 4/20
[問卦] 下個連假誰敢出門………？？, 4/20
